A:U	5	H_ie/H_ie	NA	2
A:U	5	H/H_qe	cis-W/W	2
A:U	5	H/H_i	trans-W/W	2
A:G	5	H_i/H_qe	trans-W/S	2
A:G	5	H/H	trans-H/S	4
A:C	5	H_i/H_qe	cis-W/S	2
A:A	5	H_qe/H	trans-H/W	2
A:A	5	H_qe/H_qe	trans-S/H	1
A:A	5	H_i/H_i	cis-S/H	1
A:A	5	H/H	trans-H/W	1
A:A	5	H/H_qe	trans-W/W	1
A:A	5	H/H_i	trans-W/W	2
U:U	4	H_qe/H_i	cis-W/W	3
U:U	4	H_ie/H_ie	NA	1
U:U	4	H/H_qe	cis-W/H	1
U:U	4	H/H	NA	1
U:G	4	H_qe/H	cis-W/W	1
U:G	4	H/H	cis-W/W	5
U:G	4	H_e/H_ie	NA	2
U:A	4	H_qe/H	NA	2
U:A	4	H_qe/H_i	trans-W/H	3
U:A	4	H_ie/H_ie	trans-W/H	2
U:A	4	H_ie/H_e	NA	1
U:A	4	H/H	cis-W/H	2
U:A	4	H_e/H_ie	trans-W/H	3
U:A	4	H_e/H_ie	trans-S/S	4
U:A	4	H_e/H_e	trans-S/H	4
U:A	4	H_e/H_e	trans-S/H	2
U:A	4	H_e/H_e	cis-W/H	3
PSU:G	4	H/H_qe	cis-W/W	3
PSU:G	4	H/H	cis-W/W	3
PSU:G	4	H_e/H_ie	trans-S/W	3
G:U	4	H_ie/H_ie	cis-S/H	1
G:U	4	H/H	cis-W/W	1
G:PPU	4	H_e/H_ie	NA	2
G:G	4	H_qe/H	cis-W/W	3
G:G	4	H_i/H_i	NA	3
G:G	4	H/H	trans-W/H	2
G:G	4	H/H_qe	cis-W/H	2
G:C	4	H/H_i	trans-W/W	2
G:C	4	H_e/H_ie	trans-W/W	3
G:A	4	H_qe/H	NA	3
G:A	4	H_ie/H_e	trans-S/H	3
G:A	4	H_e/H_ie	trans-W/H	2
G:A	4	H_e/H_ie	trans-S/H	2
C:U	4	H/H	NA	1
C:G	4	H_qe/H_qe	cis-W/W	4
C:G	4	H/H_qe	NA	2
C:G	4	H/H_qe	cis-H/W	1
C:A	4	H_qe/H	cis-W/W	2
C:A	4	H_i/H_qe	NA	2
C:A	4	H_e/H_ie	NA	1
A:U	4	H_i/H_qe	cis-W/W	3
A:U	4	H_e/H_e	cis-W/W	1
A:G	4	H_qe/H_qe	NA	2
A:G	4	H_i/H_i	trans-H/S	3
A:G	4	H_ie/H_e	NA	2
A:G	4	H/H_qe	trans-H/W	2
A:G	4	H/H_i	NA	1
A:C	4	H_qe/H	cis-W/W	1
A:A	4	H_qe/H_qe	trans-W/W	2
A:A	4	H_qe/H_qe	NA	2
A:A	4	H_i/H	trans-W/H	3
A:A	4	H_i/H	trans-W/H	2
A:A	4	H_i/H_qe	NA	2
A:A	4	H_i/H_qe	cis-S/H	2
A:A	4	H_i/H_qe	cis-S/H	1
A:A	4	H_e/H_ie	cis-S/W	2
A:4SU	4	H/H_i	trans-H/W	2
5MU:A	4	H/H_i	trans-W/H	3
U:U	3	H_ie/H_ie	NA	2
U:G	3	H_qe/H_i	NA	2
U:G	3	H_i/H	NA	3
U:G	3	H_i/H	cis-S/W	2
U:G	3	H_e/H_ie	NA	1
U:C	3	H_qe/H	NA	2
U:C	3	H_qe/H	NA	1
U:C	3	H/H	trans-W/W	1
U:A	3	H_qe/H	trans-W/W	1
U:A	3	H_e/H_ie	trans-S/S	5
U:A	3	H_e/H_ie	NA	1
U:A	3	H_e/H_e	trans-S/W	2
U:A	3	H_e/H_e	trans-S/S	5
U:A	3	H_e/H_e	trans-S/H	3
U:A	3	H_e/H_e	NA	1
U:A	3	H_e/H_e	cis-W/W	3
U:A	3	H_e/H_e	cis-W/H	2
PSU:G	3	H_e/H_ie	NA	1
I:U	3	H/H	cis-W/W	2
H2U:U	3	H_e/H_ie	trans-W/W	4
G:U	3	H_qe/H_qe	cis-W/W	4
G:G	3	H_qe/H_qe	NA	2
G:G	3	H_i/H_qe	trans-H/W	2
G:G	3	H/H	cis-H/W	2
G:C	3	H_qe/H	cis-W/H	1
G:C	3	H/H_qe	cis-W/W	4
G:C	3	H/H_qe	cis-W/S	3
G:C	3	H/H	NA	1
G:C	3	H/H	cis-H/W	2
G:C	3	H_e/H_ie	trans-W/W	1
G:C	3	H_e/H_e	NA	2
G:A	3	H_qe/H	trans-W/H	3
G:A	3	H_qe/H_qe	trans-S/H	4
G:A	3	H_qe/H_i	NA	2
G:A	3	H_i/H_i	trans-S/H	2
G:A	3	H/H_qe	NA	2
G:A	3	H_e/H_ie	trans-S/W	2
G:A	3	H_e/H_ie	NA	3
G:A	3	H_e/H_ie	NA	1
G:5AA	3	H_e/H_ie	NA	2
C:G	3	H_qe/H_qe	NA	3
C:G	3	H_qe/H_qe	cis-W/W	1
C:G	3	H/H_qe	cis-W/W	1
C:G	3	H/H	NA	3
C:G	3	H_e/H_ie	cis-W/H	2
C:C	3	H_ie/H_ie	NA	2
C:A	3	H_i/H_qe	cis-S/H	1
C:A	3	H_ie/H_e	NA	2
C:A	3	H/H_qe	cis-S/W	2
A:U	3	H_i/H_i	cis-W/W	1
A:U	3	H_i/H_i	cis-W/S	2
A:U	3	H_ie/H_ie	cis-H/W	3
A:U	3	H_ie/H_e	trans-H/W	2
A:U	3	H/H_i	trans-H/W	1
A:U	3	H/H_i	cis-H/W	3
A:U	3	H_e/H_ie	NA	1
A:G	3	H_qe/H_qe	trans-H/S	1
A:G	3	H_qe/H_i	NA	1
A:G	3	H_i/H	trans-H/S	2
A:G	3	H_i/H_qe	NA	3
A:G	3	H/H_qe	trans-H/W	1
A:G	3	H/H_qe	NA	1
A:G	3	H/H	cis-W/W	1
A:G	3	H_e/H_ie	NA	2
A:C	3	H_qe/H	cis-W/S	2
A:C	3	H/H_qe	trans-S/W	2
A:C	3	H/H_qe	cis-W/W	3
A:C	3	H/H_qe	cis-W/W	2
A:C	3	H_e/H_ie	NA	2
A:C	3	H_e/H_e	trans-S/W	2
A:A	3	H_qe/H	trans-H/W	1
A:A	3	H_qe/H_qe	trans-H/H	2
A:A	3	H_i/H_qe	NA	1
A:A	3	H/H	NA	2
A:A	3	H/H_i	cis-W/S	3
A:A	3	H/H_i	cis-W/S	2
U:U	2	H_qe/H_qe	trans-W/W	2
U:U	2	H_qe/H_qe	cis-H/W	1
U:U	2	H_ie/H_ie	trans-W/W	1
U:U	2	H/H_qe	NA	2
U:U	2	H/H_i	cis-W/W	1
U:I	2	H/H	cis-W/W	2
U:G	2	H_qe/H_qe	trans-W/H	2
U:G	2	H_qe/H_i	cis-H/S	2
U:G	2	H_i/H_qe	NA	3
U:G	2	H_ie/H_ie	cis-H/S	3
U:G	2	H/H	NA	3
U:G	2	H/H	NA	2
U:G	2	H/H_i	cis-W/W	2
U:G	2	H_e/H_e	trans-W/W	3
U:G	2	H_e/H_e	NA	2
U:C	2	H_qe/H_qe	trans-W/W	1
U:C	2	H_i/H	cis-W/W	2
U:C	2	H_ie/H_e	NA	3
U:C	2	H/H_qe	cis-W/W	2
U:C	2	H/H_qe	cis-W/W	1
U:C	2	H_e/H_e	trans-S/W	1
U:A	2	H_qe/H_qe	trans-W/W	1
U:A	2	H_qe/H_qe	trans-W/H	3
U:A	2	H_qe/H_qe	cis-W/W	2
U:A	2	H_qe/H_i	cis-W/H	1
U:A	2	H_qe/H	cis-W/W	2
U:A	2	H_i/H_i	trans-W/H	3
U:A	2	H_i/H_i	NA	2
U:A	2	H_i/H	cis-W/S	3
U:A	2	H/H	trans-W/H	3
U:A	2	H/H_qe	trans-W/H	1
U:A	2	H/H_i	trans-W/W	2
U:A	2	H/H_i	trans-W/H	1
U:A	2	H/H	cis-W/W	3
U:A	2	H_e/H_ie	trans-S/H	2
U:A	2	H_e/H_e	trans-S/S	3
PSU:G	2	H_qe/H_i	trans-S/W	2
PSU:G	2	H_e/H_ie	trans-W/W	2
PSU:G	2	H_e/H_ie	NA	2
PSU:A	2	H/H	cis-W/W	3
I:I	2	H/H	cis-W/H	1
HPA:C	2	H_i/H_qe	cis-W/W	3
HPA:C	2	H_i/H_qe	cis-W/W	2
H2U:U	2	H_e/H_ie	trans-W/W	2
G:U	2	H_qe/H_qe	cis-W/W	1
G:U	2	H_qe/H_i	cis-W/W	3
G:U	2	H_i/H_qe	NA	3
G:U	2	H_i/H_qe	cis-W/W	2
G:U	2	H_ie/H_ie	cis-S/H	2
G:U	2	H/H_qe	NA	2
G:U	2	H/H	cis-H/W	2
G:U	2	H_e/H_ie	NA	1
G:U	2	H_e/H_e	cis-W/W	1
G:IU	2	H/H	cis-W/W	2
G:G	2	H_qe/H_qe	trans-W/W	2
G:G	2	H_qe/H_qe	trans-S/S	4
G:G	2	H_qe/H_qe	trans-H/S	3
G:G	2	H_qe/H_qe	cis-W/H	2
G:G	2	H_qe/H_qe	cis-H/W	2
G:G	2	H_qe/H	cis-W/W	1
G:G	2	H_i/H_i	trans-S/S	3
G:G	2	H_ie/H_ie	trans-S/S	5
G:G	2	H/H	trans-W/W	2
G:G	2	H/H	trans-S/H	2
G:G	2	H/H	trans-H/W	1
G:G	2	H/H_qe	trans-S/W	1
G:G	2	H/H_qe	NA	1
G:G	2	H/H_i	trans-W/W	2
G:G	2	H/H_i	cis-W/H	1
G:G	2	H_e/H_e	trans-W/W	2
G:G	2	H_e/H_e	trans-W/H	3
G:G	2	H_e/H_e	NA	2
G:C	2	H_qe/H	trans-W/W	2
G:C	2	H_qe/H_qe	trans-S/W	2
G:C	2	H_qe/H_qe	NA	2
G:C	2	H_qe/H_qe	cis-W/W	4
G:C	2	H_i/H_qe	NA	3
G:C	2	H_i/H	cis-W/W	4
G:C	2	H_ie/H_ie	NA	4
G:C	2	H_ie/H_e	cis-W/W	1
G:C	2	H_e/H_ie	trans-W/W	4
G:C	2	H_e/H_ie	cis-W/W	2
G:C	2	H_e/H_e	NA	4
G:C	2	H_e/H_e	NA	3
G:A	2	H_qe/H_qe	trans-W/H	2
G:A	2	H_qe/H_qe	NA	4
G:A	2	H_qe/H_qe	NA	1
G:A	2	H_qe/H	NA	4
G:A	2	H_qe/H_i	trans-S/H	3
G:A	2	H_qe/H	cis-W/W	1
G:A	2	H_i/H_i	NA	1
G:A	2	H_ie/H_ie	trans-W/H	4
G:A	2	H_ie/H_ie	trans-S/W	2
